university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
SOUTHWESTERN UNIVERSITY,2011,262,159,39,5,13,7,14,301,1,1,0,15,15,0,82,53,8,16,11,1,9,9,0,6,5,0,2,2,0,1,1,0,10,9,1,21,1,6,71,33,19,12,10,2,9,4,2,0,0,0,2,2,0,6,4,0,0,262,159,39,California,246,New York,3,Illinois,2,0
ST. JOHN'S UNIVERSITY,2011,256,219,34,0,1,28,7,292,14,1,13,2,2,0,61,56,5,11,10,1,7,7,0,13,12,1,11,10,1,6,6,0,24,24,0,2,2,0,47,37,10,38,37,0,7,6,1,3,3,0,4,4,0,17,3,14,3,256,219,33,New York,226,New Jersey,6,Florida,4,0
ST. LOUIS UNIVERSITY,2011,269,221,43,11,14,23,1,318,17,1,15,14,14,0,48,45,3,25,21,4,3,2,1,7,7,0,20,20,0,10,9,1,7,6,1,0,0,0,50,28,18,39,38,1,28,22,6,6,5,1,8,2,6,4,2,1,0,269,221,43,Missouri,167,Illinois,45,District of Columbia,13,0
ST. MARY'S UNIVERSITY,2011,207,207,0,4,5,16,4,236,3,3,0,27,27,0,90,90,0,3,3,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,9,9,0,23,23,0,30,30,0,12,12,0,2,2,0,6,6,0,1,1,0,0,207,207,0,Texas,192,unknown,5,Kentucky,2,0
ST. THOMAS UNIVERSITY,2011,145,121,23,11,0,40,6,202,1,1,0,10,9,1,64,59,5,14,14,0,1,1,0,3,3,0,8,8,0,0,0,0,0,0,0,4,1,2,14,7,7,10,10,0,8,7,1,1,0,1,5,0,5,2,1,1,1,145,120,23,Florida,114,New York,5,California,4,0
STANFORD UNIVERSITY,2011,169,169,0,4,0,0,1,174,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,2,2,0,5,5,0,10,10,0,76,76,0,0,0,0,3,3,0,7,7,0,5,5,0,51,51,0,3,3,0,3,3,0,0,169,169,0,California,70,District of Columbia,28,New York,26,3
STATE UNIVERSITY OF NEW YORK AT BUFFALO,2011,230,184,46,17,2,10,6,265,5,1,4,0,0,0,59,48,11,19,13,6,11,11,0,11,11,0,12,11,1,2,2,0,5,5,0,8,3,5,35,25,10,36,32,4,16,13,3,1,1,0,3,3,0,12,6,6,0,230,184,46,New York,180,District of Columbia,14,Maryland,8,3
STETSON UNIVERSITY,2011,264,232,1,11,12,37,13,337,0,0,0,5,5,0,76,66,0,13,12,0,17,16,0,10,10,0,11,10,0,4,3,0,6,6,0,21,14,0,21,18,0,35,35,0,20,19,0,3,3,0,7,7,0,6,5,0,9,264,229,0,Florida,241,Georgia,4,Virginia,3,1
SUFFOLK UNIVERSITY,2011,392,319,43,8,2,64,21,487,8,0,8,10,9,1,106,90,6,22,20,2,9,7,2,7,7,0,7,6,1,7,7,0,18,16,1,4,2,1,97,78,12,56,50,3,11,8,1,2,2,0,8,8,0,23,6,13,5,392,316,43,Massachusetts,312,unknown,13,New Hampshire,7,4
SYRACUSE UNIVERSITY,2011,154,112,42,9,5,7,14,189,5,0,5,0,0,0,26,25,1,9,7,2,6,5,1,0,0,0,8,7,1,5,5,0,4,4,0,0,0,0,42,22,20,20,16,4,16,10,6,2,2,0,8,8,0,8,1,7,0,154,112,42,New York,80,District of Columbia,13,California,9,5
TEMPLE UNIVERSITY,2011,272,212,57,10,3,7,3,295,41,1,40,2,2,0,39,35,4,18,12,6,8,8,0,5,5,0,7,7,0,11,11,0,13,13,0,4,4,0,33,29,4,32,31,1,43,17,26,9,9,0,23,23,0,19,4,15,6,272,210,56,Pennsylvania,194,New Jersey,14,New York,12,3
"TENNESSEE, UNIVERSITY OF",2011,135,105,30,4,8,15,5,167,1,1,0,5,5,0,29,27,2,6,6,0,9,8,1,5,5,0,8,8,0,3,3,0,4,4,0,2,2,0,16,9,7,22,20,2,6,5,1,2,0,2,13,0,13,5,3,2,0,135,105,30,Tennessee,100,Georgia,7,Texas,4,5
"TEXAS AT AUSTIN, UNIVERSITY OF",2011,349,303,46,8,24,11,0,392,24,3,21,0,0,0,27,26,1,22,19,3,6,5,1,7,7,0,10,10,0,25,25,0,76,76,0,5,5,0,39,25,14,54,40,14,24,12,12,41,41,0,11,11,0,2,1,1,0,349,303,46,Texas,238,California,29,New York,23,4
TEXAS SOUTHERN UNIVERSITY,2011,107,91,13,4,18,6,7,142,2,2,0,26,25,1,28,27,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,22,14,8,10,10,0,4,4,0,1,0,1,2,0,2,4,4,0,1,107,91,13,Texas,90,New York,4,Georgia,3,2
TEXAS TECH UNIVERSITY,2011,196,162,33,8,4,1,1,210,6,0,6,6,6,0,57,49,8,16,16,0,7,7,0,2,2,0,4,4,0,1,1,0,4,4,0,8,3,5,35,24,10,38,31,7,5,4,1,3,3,0,7,6,1,3,2,1,0,196,162,33,Texas,173,New Mexico,5,Virginia,4,0
TEXAS WESLEYAN UNIVERSITY,2011,154,89,16,2,9,31,41,237,0,0,0,16,7,1,49,27,4,8,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,40,19,7,21,17,2,4,3,0,1,0,1,1,0,1,4,3,0,2,154,89,16,Texas,140,Missouri,2,Pennsylvania,2,0
THOMAS JEFFERSON SCHOOL OF LAW,2011,151,102,34,7,2,19,42,221,2,0,2,13,13,0,42,29,10,5,5,0,2,1,1,6,4,1,1,1,0,0,0,0,5,3,2,19,13,3,28,19,6,15,8,5,2,2,0,2,0,2,1,0,1,7,3,3,3,151,101,34,California,105,New York,5,Nevada,3,2
THOMAS M. COOLEY LAW SCHOOL,2011,586,375,61,22,32,132,155,927,4,3,1,86,62,1,163,110,7,22,15,3,8,6,0,5,3,0,9,6,2,2,1,0,2,1,1,8,3,1,103,63,20,88,68,5,17,9,1,1,0,0,20,4,10,16,10,2,36,586,361,53,Michigan,233,Illinois,47,unknown,47,10
"TOLEDO, UNIVERSITY OF",2011,145,84,44,2,1,13,0,161,3,2,1,7,7,0,28,21,7,4,4,0,2,2,0,2,1,1,4,3,1,1,1,0,0,0,0,7,3,3,35,13,14,17,13,4,11,4,6,2,2,0,6,5,0,7,4,2,12,145,83,38,Ohio,88,Michigan,19,District of Columbia,5,3
TOURO COLLEGE,2011,136,117,19,2,11,31,5,185,2,2,0,1,1,0,68,60,8,6,6,0,3,3,0,3,3,0,1,1,0,1,1,0,3,3,0,0,0,0,17,15,2,16,16,0,3,2,1,1,1,0,10,2,8,3,3,0,0,136,117,19,New York,122,New Jersey,8,Connecticut,1,1
TULANE UNIVERSITY,2011,215,174,41,11,5,16,5,252,3,2,1,8,8,0,38,32,6,14,13,1,10,8,2,9,7,2,3,3,0,11,11,0,14,13,1,5,2,3,36,18,18,30,25,5,14,14,0,7,7,0,8,8,0,6,4,2,2,215,173,40,Louisiana,95,Texas,30,New York,10,4
"TULSA, UNIVERSITY OF",2011,122,118,3,3,3,3,1,132,3,0,3,5,5,0,38,38,0,7,7,0,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,4,4,0,26,26,0,20,19,1,7,7,0,1,1,0,0,0,0,5,3,2,1,122,118,3,Oklahoma,78,Texas,11,District of Columbia,4,4
UNIVERISTY OF NEVADA - LAS VEGAS,2011,136,126,10,1,7,2,0,146,3,3,0,8,8,0,45,42,3,3,3,0,5,4,1,4,4,0,4,4,0,3,3,0,2,2,0,1,1,0,12,9,3,12,10,2,7,6,1,3,3,0,24,24,0,3,3,0,0,136,126,10,Nevada,122,California,4,Utah,4,0
UNIVERSITY OF LA VERNE,2011,58,55,3,5,5,29,0,97,1,1,0,2,2,0,24,22,2,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,15,14,1,4,4,0,0,0,0,1,1,0,0,0,0,2,2,0,0,58,55,3,California,48,Utah,3,Nevada,2,1
UNIVERSITY OF ST. THOMAS,2011,134,97,31,3,2,14,2,155,2,0,2,4,4,0,30,28,2,6,6,0,1,0,1,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,35,29,3,15,10,5,11,9,2,0,0,0,15,2,13,6,2,4,4,134,97,30,Minnesota,101,California,4,Iowa,4,0
"UTAH, UNIVERSITY OF",2011,115,103,12,4,1,2,4,126,5,2,3,7,7,0,35,30,5,4,4,0,9,9,0,5,4,1,2,2,0,3,3,0,1,1,0,0,0,0,12,10,2,16,15,1,4,2,2,5,5,0,9,9,0,3,2,1,0,115,103,12,Utah,82,Nevada,8,Colorado,4,0
VALPARAISO UNIVERSITY,2011,124,124,0,3,6,43,0,176,1,1,0,4,4,0,40,40,0,9,9,0,4,4,0,1,1,0,3,3,0,2,2,0,1,1,0,1,1,0,25,25,0,21,21,0,5,5,0,0,0,0,0,0,0,2,2,0,6,124,118,0,Indiana,48,Illinois,25,unknown,20,0
VANDERBILT UNIVERSITY,2011,185,162,23,10,3,1,3,202,22,1,21,0,0,0,10,10,0,10,10,0,6,6,0,8,8,0,13,13,0,14,14,0,33,33,0,1,1,0,12,12,0,27,16,11,16,4,12,25,25,0,9,9,0,1,1,0,0,185,162,23,Tennessee,35,New York,19,District of Columbia,18,3
VERMONT LAW SCHOOL,2011,125,65,60,18,6,13,0,162,5,0,5,1,1,0,25,18,7,1,1,0,3,1,2,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,22,6,16,18,13,5,19,15,4,3,1,2,19,2,17,9,2,7,0,125,65,60,Vermont,21,New York,16,Massachusetts,13,3
VILLANOVA UNIVERSITY,2011,183,153,21,8,7,30,5,233,4,0,4,0,0,0,37,29,7,12,12,0,9,9,0,9,9,0,11,10,1,5,5,0,19,17,1,0,0,0,28,18,6,14,12,2,7,6,0,5,5,0,22,20,0,5,1,4,0,183,153,21,Pennsylvania,102,New Jersey,23,New York,23,1
"VIRGINIA, UNIVERSITY OF",2011,367,327,40,2,3,1,1,374,40,1,39,1,1,0,22,21,1,3,3,0,0,0,0,7,7,0,13,13,0,35,35,0,142,142,0,2,2,0,10,10,0,50,40,10,27,4,23,39,37,2,13,11,2,3,1,2,0,367,327,40,District of Columbia,83,New York,73,Virginia,51,6
WAKE FOREST UNIVERSITY,2011,134,102,30,13,0,6,8,161,11,0,11,1,1,0,23,23,0,10,10,0,4,4,0,5,5,0,6,5,1,6,5,1,6,6,0,1,1,0,24,8,15,17,12,4,13,6,7,7,7,0,7,6,1,4,3,1,0,134,102,30,North Carolina,68,New York,7,Texas,7,1
WASHBURN UNIVERSITY,2011,116,95,21,5,0,11,7,139,1,1,0,11,5,6,32,29,3,5,4,1,2,2,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0,0,12,8,4,26,22,4,13,11,2,2,2,0,5,5,0,2,1,1,1,116,94,21,Kansas,75,Missouri,13,Colorado,4,0
WASHINGTON AND LEE UNIVERSITY,2011,111,97,14,5,0,2,5,123,13,8,5,1,0,1,13,10,3,0,0,0,2,2,0,5,5,0,4,4,0,5,5,0,6,6,0,0,0,0,8,6,2,23,22,1,10,8,2,14,14,0,9,8,1,10,6,4,1,111,96,14,Virginia,34,District of Columbia,17,New York,10,3
WASHINGTON UNIVERSITY,2011,217,194,22,18,3,27,4,269,13,1,12,3,3,0,19,19,0,9,7,2,9,9,0,10,10,0,19,17,2,11,11,0,37,36,1,4,4,0,25,21,3,37,35,2,12,5,7,10,7,3,2,2,0,8,7,1,2,217,193,21,Missouri,60,New York,24,Illinois,23,11
"WASHINGTON, UNIVERSITY OF",2011,169,118,51,2,2,3,0,176,1,1,0,3,2,1,31,18,13,3,3,0,8,7,1,1,1,0,4,4,0,17,11,6,5,5,0,1,0,1,23,7,16,27,24,3,15,8,7,8,8,0,18,18,0,3,2,1,2,169,118,49,Washington,116,California,13,New York,7,5
WAYNE STATE UNIVERSITY,2011,122,98,17,4,1,15,3,145,0,0,0,7,5,2,26,19,7,11,9,2,13,11,2,2,2,0,14,14,0,3,3,0,1,1,0,0,0,0,22,16,0,11,8,3,7,5,1,2,2,0,3,3,0,0,0,0,0,122,98,17,Michigan,113,Ohio,2,Illinois,1,0
WEST VIRGINIA UNIVERSITY,2011,116,112,4,4,4,2,0,126,0,0,0,2,2,0,26,26,0,3,3,0,11,11,0,3,3,0,12,12,0,1,1,0,0,0,0,0,0,0,28,24,4,11,11,0,5,5,0,3,3,0,11,11,0,0,0,0,0,116,112,4,West Virginia,88,Pennsylvania,7,District of Columbia,5,0
WESTERN NEW ENGLAND COLLEGE,2011,124,108,13,9,1,29,10,173,3,3,0,8,8,0,32,28,4,2,2,0,4,2,2,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0,32,24,6,20,18,2,8,8,0,1,1,0,8,8,0,4,4,0,0,124,108,14,Connecticut,42,Massachusetts,42,New York,18,0
WESTERN STATE SCHOOL OF LAW,2011,55,48,6,0,0,19,3,77,1,0,1,2,2,0,32,29,3,5,4,1,0,0,0,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,5,4,0,4,4,0,1,1,0,0,0,0,0,0,0,2,1,1,0,55,48,6,California,44,Pennsylvania,2,Hawaii,1,1
WHITTIER COLLEGE,2011,118,70,42,4,4,6,6,138,0,0,0,1,0,0,45,31,13,1,0,1,7,5,2,1,1,0,2,2,0,1,0,1,1,1,0,0,0,0,38,18,17,6,3,3,7,4,3,1,1,0,0,0,0,6,4,2,1,118,70,42,California,101,Nevada,3,unknown,3,1
WIDENER UNIVERSITY,2011,195,164,31,10,8,16,25,254,0,0,0,6,4,2,38,31,7,24,24,0,7,7,0,8,7,1,2,2,0,0,0,0,1,1,0,2,2,0,45,27,18,19,18,1,7,7,0,2,2,0,30,30,0,4,2,2,0,195,164,31,Pennsylvania,97,Delaware,45,New Jersey,33,0
WIDENER UNIVERSITY-HARRISBURG,2011,93,69,24,6,10,6,7,122,0,0,0,2,0,2,24,18,6,7,6,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,15,7,8,13,10,3,7,6,1,1,1,0,17,17,0,2,0,2,1,93,69,23,Pennsylvania,67,New Jersey,13,Florida,3,1
WILLAMETTE UNIVERSITY,2011,113,93,20,2,16,2,2,135,4,1,3,15,15,0,41,35,6,4,4,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,8,2,6,17,11,6,12,12,0,4,3,1,0,0,0,5,5,0,2,1,1,0,113,93,20,Oregon,78,Washington,13,California,6,0
WILLIAM AND MARY SCHOOL OF LAW,2011,186,169,17,8,3,9,8,214,2,2,0,1,1,0,23,21,2,8,7,1,5,5,0,4,4,0,9,9,0,9,9,0,17,17,0,0,0,0,18,7,11,41,39,2,9,8,1,13,13,0,26,26,0,3,3,0,0,186,169,17,Virginia,86,District of Columbia,28,Pennsylvania,7,2
WILLIAM MITCHELL COLLEGE OF LAW,2011,264,207,35,1,10,25,0,300,0,0,0,20,17,3,51,44,7,9,7,2,7,5,2,3,3,0,10,10,0,6,6,0,0,0,0,3,1,1,71,53,14,30,22,3,13,11,1,0,0,0,23,23,0,4,4,0,14,264,206,33,Minnesota,208,Wisconsin,10,Virginia,5,0
"WISCONSIN, UNIVERSITY OF",2011,239,220,19,9,1,5,3,257,7,1,6,18,18,0,52,50,2,9,8,1,4,4,0,3,2,1,7,7,0,12,12,0,15,15,0,0,0,0,24,20,4,55,50,5,23,20,3,2,2,0,9,9,0,6,3,3,0,239,220,19,Wisconsin,138,Illinois,19,California,12,6
"WYOMING, UNIVERSITY OF",2011,53,51,2,2,0,12,0,67,0,0,0,0,0,0,28,27,1,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,7,6,1,4,4,0,1,1,0,1,1,0,0,0,0,0,53,51,2,Wyoming,32,Colorado,6,Arizona,3,2
YALE UNIVERSITY,2011,190,187,3,9,3,4,1,207,19,19,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,5,5,0,4,4,0,52,52,0,3,3,0,8,8,0,19,18,1,20,19,1,62,62,0,7,7,0,6,5,1,0,190,187,3,New York,45,District of Columbia,42,California,17,9
YESHIVA UNIVERSITY,2011,324,233,90,12,18,16,13,383,59,0,59,1,1,0,52,32,20,13,11,2,9,7,2,7,7,0,5,5,0,19,17,2,47,47,0,6,3,3,60,39,20,45,27,18,36,18,18,7,6,1,11,11,0,6,2,4,0,324,233,90,New York,266,New Jersey,17,District of Columbia,8,3
