university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
CHARLOTTE SCHOOL OF LAW,2011,73,63,10,1,2,1,4,81,2,1,1,11,11,0,22,22,0,1,1,0,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0,1,1,0,17,9,8,8,8,0,5,4,1,0,0,0,0,0,0,2,1,1,1,73,62,10,North Carolina,53,unknown,9,South Carolina,4,0
"CHICAGO, UNIVERSITY OF",2011,191,188,2,0,2,2,0,195,2,0,2,0,0,0,6,6,0,5,5,0,2,2,0,5,5,0,5,5,0,11,11,0,101,101,0,1,1,0,8,8,0,6,6,0,10,9,1,24,24,0,3,3,0,3,2,1,1,191,188,2,Illinois,69,New York,48,California,16,4
"CINCINNATI, UNIVERSITY OF",2011,112,76,31,6,2,7,2,129,10,0,10,3,1,1,11,10,1,6,3,3,4,4,0,6,4,1,1,1,0,3,3,0,1,1,0,2,1,1,19,11,7,18,18,0,8,7,1,6,6,0,4,4,0,19,2,16,1,112,76,31,Ohio,85,Kentucky,5,District of Columbia,4,1
CITY UNIVERSITY OF NEW YORK,2011,102,74,25,1,0,22,1,126,24,4,20,7,7,0,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,10,6,3,10,10,0,42,20,21,1,1,0,10,10,0,6,5,1,0,102,75,25,New York,77,New Jersey,9,District of Columbia,3,0
CLEVELAND STATE UNIVERSITY,2011,149,130,19,2,5,14,8,178,1,1,0,11,11,0,35,34,1,6,4,2,1,1,0,3,3,0,8,8,0,3,3,0,2,2,0,3,2,1,42,28,14,22,22,0,4,4,0,4,3,1,3,3,0,2,2,0,0,149,130,19,Ohio,143,Virginia,2,Idaho,1,1
"COLORADO, UNIVERSITY OF",2011,151,129,22,4,18,5,5,183,0,0,0,6,6,0,23,21,2,16,15,1,8,4,4,2,0,2,6,5,1,2,2,0,6,6,0,5,3,2,22,15,7,18,17,1,8,7,1,3,3,0,23,23,0,2,1,1,1,151,128,22,Colorado,120,California,5,District of Columbia,3,1
COLUMBIA UNIVERSITY,2011,415,404,11,5,3,3,4,430,5,0,5,0,0,0,4,4,0,6,6,0,5,5,0,3,2,1,13,13,0,31,30,1,254,253,1,0,0,0,16,12,4,19,17,2,13,11,2,42,42,0,7,7,0,2,2,0,0,415,404,11,New York,282,District of Columbia,36,California,31,7
"CONNECTICUT, UNIVERSITY OF",2011,172,136,36,5,7,16,12,212,2,0,2,2,0,2,28,21,7,11,9,2,6,6,0,6,6,0,10,10,0,8,8,0,11,11,0,0,0,0,35,27,8,25,12,13,8,7,1,5,5,0,12,12,0,5,2,3,0,172,136,36,Connecticut,113,Massachusetts,25,New York,12,0
CORNELL UNIVERSITY,2011,186,180,6,4,1,1,0,192,6,0,6,0,0,0,1,1,0,4,4,0,1,1,0,2,2,0,11,11,0,19,19,0,116,116,0,1,1,0,3,3,0,8,6,2,6,3,3,9,9,0,3,3,0,2,1,1,0,186,180,6,New York,114,District of Columbia,14,California,11,5
CREIGHTON UNIVERSITY,2011,116,104,10,3,2,13,6,140,0,0,0,5,5,0,45,44,1,7,7,0,6,6,0,4,3,1,0,0,0,2,2,0,1,1,0,4,1,2,14,10,4,12,12,0,5,4,1,3,3,0,6,6,0,1,0,1,1,116,104,10,Nebraska,70,Iowa,13,Missouri,5,0
