SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_EmployedBarPassageRequiredFTLT,Funded_EmployedBarPassageRequiredFTST,Funded_EmployedBarPassageRequiredPTLT,Funded_EmployedBarPassageRequiredPTST,Funded_EmployedBarPassageRequiredTotalEmployed,Funded_EmployedJDAdvantageFTLT,Funded_EmployedJDAdvantageFTST,Funded_EmployedJDAdvantagePTLT,Funded_EmployedJDAdvantagePTST,Funded_EmployedJDAdvantageTotalEmployed,Funded_EmployedProfessionFTLT,Funded_EmployedProfessionFTST,Funded_EmployedProfessionPTLT,Funded_EmployedProfessionPTST,Funded_EmployedProfessionTotalEmployed,Funded_EmployedNonProfessionFTLT,Funded_EmployedNonProfessionFTST,Funded_EmployedNonProfessionPTLT,Funded_EmployedNonProfessionPTST,Funded_EmployedNonProfessionTotalEmployed,Funded_TotalFTLT,Funded_TotalFTST,Funded_TotalPTLT,Funded_TotalPTST,Funded_TotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Education-FTLT,Education-FTST,Education-PTLT,Education-PTST,Education,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DENVER, UNIVERSITY OF",157,8,5,24,194,31,5,3,14,53,24,0,4,0,28,3,0,2,1,6,0,0,0,0,0,3,0,6,23,4,317,0,0,0,21,21,0,1,0,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,32,33,6,0,1,1,8,48,2,3,4,57,10,0,0,0,10,8,2,0,0,10,4,0,0,0,4,12,0,0,0,12,5,0,0,0,5,2,0,0,0,2,0,0,0,0,0,30,4,8,1,43,39,3,0,20,62,19,1,0,1,21,1,0,0,0,1,22,1,0,0,23,0,0,0,0,0,8,0,2,12,22,1,0,0,0,1,215,13,14,39,281,Colorado,236,Texas,7,California,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPAUL UNIVERSITY,149,9,7,6,171,42,1,10,9,62,30,1,1,0,32,3,2,3,2,10,0,0,0,0,0,2,2,2,68,19,368,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,3,2,0,0,0,2,67,2,6,8,83,24,1,1,1,27,8,1,2,0,11,4,0,0,0,4,2,1,0,0,3,5,0,0,0,5,6,0,0,0,6,8,0,2,1,11,46,3,6,4,59,23,4,1,1,29,14,1,0,1,16,1,0,0,0,1,7,0,0,0,7,0,0,0,0,0,6,0,2,1,9,1,0,1,0,2,224,13,21,17,275,Illinois,234,California,5,Michigan,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DETROIT MERCY, UNIVERSITY OF",63,27,4,3,97,24,3,0,3,30,12,2,1,0,15,7,0,6,0,13,0,0,0,0,0,5,0,11,34,7,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,26,6,0,5,37,10,5,0,0,15,4,3,0,0,7,5,2,0,0,7,4,1,0,0,5,2,1,0,0,3,2,4,0,0,6,1,1,0,0,2,26,7,4,0,37,8,1,2,1,12,4,0,1,0,5,2,0,0,0,2,2,0,0,0,2,1,1,0,0,2,5,0,1,0,6,0,0,0,0,0,106,32,11,6,155,Michigan,94,Illinois,4,Florida,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,24,4,1,1,30,11,1,1,0,13,5,0,1,2,8,1,0,0,1,2,0,0,0,0,0,6,0,7,20,7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,3,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,4,1,1,16,7,1,0,0,8,7,0,1,0,8,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,41,5,3,4,53,District Of Columbia,18,Virginia,10,Maryland,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAKE UNIVERSITY,78,5,3,0,86,26,1,4,0,31,5,0,2,0,7,1,0,0,0,1,0,0,0,0,0,1,2,3,8,0,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,2,0,8,22,0,2,0,24,10,0,0,0,10,7,2,0,0,9,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,30,1,2,0,33,12,2,2,0,16,7,0,1,0,8,1,1,0,0,2,8,0,0,0,8,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,110,6,9,0,125,Iowa,97,Minnesota,7,Colorado,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREXEL UNIVERSITY,75,3,6,6,90,13,0,2,0,15,6,0,3,2,11,1,0,1,2,4,0,0,0,0,0,2,3,5,22,3,155,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,13,0,5,1,19,5,1,1,0,7,2,0,0,0,2,5,1,0,0,6,5,0,0,0,5,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,19,1,4,3,27,16,0,1,1,18,6,0,1,3,10,1,0,0,0,1,14,0,0,0,14,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,95,3,12,10,120,Pennsylvania,72,New Jersey,14,New York,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUKE UNIVERSITY,192,13,0,6,211,4,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,3,1,225,1,7,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,12,0,0,0,0,0,2,0,0,2,4,2,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3,1,0,0,4,21,0,0,0,21,91,1,0,0,92,0,0,0,0,0,9,0,0,3,12,10,3,0,0,13,11,5,0,3,19,29,2,0,0,31,15,0,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,196,13,0,8,217,New York,48,District of Columbia,31,California,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUQUESNE UNIVERSITY,106,5,5,0,116,26,1,2,0,29,13,0,1,0,14,3,0,2,0,5,0,0,0,0,0,2,0,1,31,3,201,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,0,0,4,44,0,3,0,47,10,0,0,0,10,3,1,0,0,4,3,0,0,0,3,5,0,1,0,6,5,0,0,0,5,4,1,0,0,5,1,0,0,0,1,38,2,3,0,43,8,0,2,0,10,5,0,1,0,6,1,1,0,0,2,16,0,0,0,16,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,148,6,10,0,164,Pennsylvania,139,West Virginia,4,Florida,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELON UNIVERSITY,57,9,0,4,70,7,0,1,3,11,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,24,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,31,0,1,1,33,4,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,3,22,6,0,0,0,6,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,1,2,6,0,0,0,1,1,66,9,2,8,85,North Carolina,77,Illinois,2,District Of Columbia,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMORY UNIVERSITY,195,4,28,4,231,14,0,4,0,18,5,0,0,0,5,0,0,1,0,1,1,0,0,0,1,4,0,2,4,0,266,17,0,20,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,20,0,37,2,0,0,0,2,39,0,10,1,50,11,0,3,2,16,11,0,0,0,11,6,0,0,0,6,11,1,0,0,12,10,0,0,0,10,39,0,1,0,40,1,0,0,0,1,20,1,6,1,28,18,2,3,0,23,19,0,5,0,24,17,0,0,0,17,9,0,2,0,11,0,0,0,0,0,1,0,3,0,4,1,0,0,0,1,215,4,33,4,256,Georgia,121,New York,24,Florida,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGENIO MARIA DE HOSTOS SCHOOL OF LAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,121,New York,24,Florida,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAULKNER UNIVERSITY,52,5,3,0,60,14,0,1,0,15,2,0,1,1,4,3,0,5,0,8,0,0,0,0,0,2,1,2,10,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,10,27,0,3,0,30,1,0,0,0,1,2,0,0,0,2,7,3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,2,5,0,18,6,0,0,0,6,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,1,1,4,0,0,0,0,0,71,5,10,1,87,Alabama,46,Georgia,9,Florida,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA A&M UNIVERSITY,62,0,2,0,64,22,1,0,0,23,13,0,1,1,15,0,0,0,1,1,0,0,0,0,0,11,0,6,31,9,160,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1,0,8,20,0,1,0,21,6,0,0,0,6,3,0,0,0,3,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,21,1,1,1,24,19,0,0,0,19,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,3,0,0,0,0,0,97,1,3,2,103,Florida,84,Georgia,8,Arizona,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA COASTAL SCHOOL OF LAW,183,17,4,43,247,27,12,3,29,71,23,3,1,8,35,6,6,5,7,24,1,0,0,1,2,27,0,12,92,0,510,0,0,0,31,31,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,5,0,0,0,5,89,13,5,23,130,11,1,0,2,14,5,0,0,1,6,1,0,0,0,1,4,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,6,7,52,15,5,14,86,47,5,1,5,58,18,0,2,33,53,1,0,0,0,1,5,1,0,1,7,0,0,0,0,0,0,2,0,2,4,1,0,0,1,2,240,38,13,88,379,Florida,243,Georgia,22,North Carolina,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA INTERNATIONAL UNIVERSITY,117,2,4,4,127,23,0,3,4,30,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,13,5,3,184,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,13,0,0,0,13,46,0,5,3,54,15,1,0,0,16,5,0,0,0,5,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,1,1,5,22,25,0,0,0,25,4,0,1,0,5,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,143,2,7,8,160,Florida,140,Texas,3,District of Columbia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA STATE UNIVERSITY,190,5,0,3,198,31,4,12,3,50,1,0,2,0,3,0,0,3,1,4,0,0,0,0,0,9,0,10,9,3,286,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,4,38,1,6,1,46,15,1,2,0,18,12,0,0,0,12,7,0,0,0,7,7,0,0,0,7,6,0,0,0,6,3,2,0,0,5,3,0,1,0,4,27,2,5,3,37,62,2,1,0,65,25,1,0,0,26,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,4,0,1,3,8,0,0,0,0,0,222,9,17,7,255,Florida,215,Georgia,9,California,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLORIDA, UNIVERSITY OF",189,2,4,1,196,21,2,6,20,49,10,0,2,0,12,3,1,2,1,7,0,0,0,0,0,19,3,12,29,6,333,0,0,0,0,0,2,0,0,13,15,0,0,0,0,0,0,0,0,0,0,2,0,0,13,15,4,0,1,0,5,42,1,5,5,53,18,0,1,0,19,5,0,1,0,6,16,0,0,0,16,15,0,0,0,15,3,0,0,0,3,13,1,0,0,14,1,0,0,0,1,26,2,4,2,34,42,0,0,5,47,17,0,1,8,26,13,0,0,0,13,3,0,0,0,3,0,0,0,0,0,4,1,1,1,7,1,0,0,1,2,223,5,14,22,264,Florida,222,District Of Columbia,6,Georgia,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORDHAM UNIVERSITY,305,4,1,0,310,30,31,8,31,100,13,0,6,0,19,2,1,1,0,4,0,0,0,0,0,4,1,2,39,7,486,1,0,0,0,1,1,29,0,27,57,0,0,0,0,0,0,0,0,0,0,2,29,0,27,58,0,0,0,0,0,28,1,3,2,34,10,4,2,0,16,15,0,0,1,16,18,0,0,0,18,23,0,0,0,23,27,0,0,0,27,98,1,0,0,99,2,0,0,0,2,48,2,9,1,60,38,9,1,5,53,15,6,1,18,40,14,1,0,0,15,13,1,0,3,17,0,0,0,0,0,1,11,0,1,13,0,0,0,0,0,350,36,16,31,433,New York,367,New Jersey,19,District Of Columbia,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGE MASON UNIVERSITY,112,7,0,3,122,48,5,3,14,70,6,1,4,0,11,0,0,1,0,1,0,0,0,1,1,2,1,3,8,1,220,3,1,0,3,7,3,0,0,14,17,0,0,0,0,0,0,0,0,0,0,6,1,0,17,24,1,0,0,0,1,38,1,2,0,41,12,0,0,0,12,3,0,0,0,3,2,0,1,0,3,6,1,0,0,7,4,0,0,0,4,9,0,0,0,9,0,0,0,0,0,21,7,4,1,33,43,1,0,3,47,11,2,1,1,15,4,0,0,0,4,11,0,0,0,11,0,0,0,0,0,1,1,0,12,14,0,0,0,1,1,166,13,8,18,205,Virginia,91,District Of Columbia,69,Maryland,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGE WASHINGTON UNIVERSITY,466,2,3,2,473,57,1,3,0,61,7,0,0,3,10,0,0,0,0,0,2,0,0,0,2,4,0,3,22,0,575,119,0,1,0,120,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,128,0,2,0,130,1,0,0,0,1,40,0,3,1,44,20,0,0,1,21,12,0,0,0,12,21,0,0,0,21,25,0,0,0,25,29,0,0,0,29,103,0,0,0,103,0,1,0,0,1,34,1,0,3,38,118,0,0,0,118,69,0,1,0,70,22,1,0,0,23,24,0,0,0,24,0,0,0,0,0,12,0,2,0,14,2,0,0,0,2,532,3,6,5,546,District Of Columbia,277,Virginia,54,New York,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGETOWN UNIVERSITY,459,8,4,1,472,69,8,11,2,90,9,0,2,1,12,1,0,0,1,2,2,0,0,0,2,12,1,4,29,2,626,41,3,4,0,48,19,5,7,2,33,1,0,0,1,2,0,0,0,0,0,61,8,11,3,83,1,0,0,0,1,26,2,2,0,30,4,0,0,0,4,7,0,0,0,7,14,0,0,0,14,24,0,0,0,24,37,1,0,0,38,184,0,1,1,186,2,0,0,0,2,27,4,2,0,33,90,2,1,0,93,70,6,10,2,88,23,1,0,0,24,20,0,0,0,20,0,0,0,0,0,8,0,1,2,11,3,0,0,0,3,540,16,17,5,578,District Of Columbia,256,New York,112,California,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA STATE UNIVERSITY,131,1,7,0,139,21,0,1,0,22,8,0,4,0,12,1,0,0,0,1,0,0,0,0,0,1,0,3,21,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,9,43,0,4,0,47,12,0,1,0,13,2,0,0,0,2,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2,12,0,0,0,12,0,0,0,0,0,36,0,1,0,37,20,1,2,0,23,11,0,0,0,11,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,161,1,12,0,174,Georgia,159,District Of Columbia,3,New York,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEORGIA, UNIVERSITY OF",158,4,6,0,168,16,0,1,0,17,5,0,2,0,7,0,0,1,1,2,0,0,0,0,0,5,2,4,20,4,229,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,2,0,3,2,0,2,0,4,26,0,5,0,31,12,0,0,0,12,7,0,0,0,7,9,0,0,0,9,7,0,0,0,7,4,0,0,0,4,29,1,0,0,30,1,0,0,0,1,15,0,1,1,17,23,1,0,0,24,10,1,0,0,11,20,0,0,0,20,13,1,0,0,14,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,179,4,10,1,194,GEORGIA,152,District Of Columbia,7,SOUTH CAROLINA,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN GATE UNIVERSITY,40,10,7,18,75,11,5,3,5,24,11,4,0,5,20,1,1,1,4,7,0,0,0,0,0,9,1,6,39,7,188,0,7,0,13,20,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,9,0,15,24,1,0,3,0,4,17,2,4,8,31,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,18,5,1,6,30,8,5,0,4,17,8,4,1,10,23,1,0,0,0,1,1,1,0,3,5,0,0,0,0,0,1,3,1,1,6,0,0,0,0,0,63,20,11,32,126,California,116,New York,2,Kentucky,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONZAGA UNIVERSITY,84,5,2,1,92,30,0,0,0,30,2,1,1,0,4,1,0,4,2,7,0,0,0,0,0,5,2,4,20,2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,38,0,1,0,39,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,3,34,1,5,2,42,9,2,0,0,11,4,0,0,0,4,1,0,0,0,1,12,3,0,0,15,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,117,6,7,3,133,Washington,77,Utah,13,Idaho,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMLINE UNIVERSITY,81,5,5,1,92,57,3,3,0,63,9,0,1,0,10,1,0,4,0,5,1,0,0,0,1,2,1,5,7,4,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,30,1,0,0,31,6,0,0,0,6,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,4,6,0,69,13,1,1,1,16,6,2,2,0,10,0,0,0,0,0,18,0,1,0,19,0,0,0,0,0,4,0,0,0,4,2,0,1,0,3,149,8,13,1,171,Minnesota,133,Wisconsin,6,Colorado,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARVARD UNIVERSITY,515,1,0,0,516,40,1,0,2,43,5,0,1,1,7,0,0,0,1,1,1,0,0,0,1,6,1,1,14,0,590,16,0,0,0,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,1,0,0,0,1,6,0,0,0,6,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,20,0,0,0,20,35,0,0,0,35,261,0,0,0,261,0,0,0,0,0,27,0,1,0,28,24,1,0,0,25,43,1,0,0,44,105,0,0,0,105,25,0,0,0,25,1,0,0,0,1,7,0,0,4,11,1,0,0,0,1,561,2,1,4,568,New York,156,District of Columbia,90,Massachusetts,68,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
