SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"CINCINNATI, UNIVERSITY OF",79,1,2,1,83,24,0,0,0,24,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,1,1,0,12,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,13,0,0,1,14,6,0,0,0,6,5,0,0,0,5,1,0,0,0,1,3,0,1,0,4,9,0,0,0,9,7,0,0,0,7,0,0,0,0,0,20,1,3,0,24,26,0,0,0,26,3,0,0,0,3,2,0,0,0,2,3,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,103,1,5,1,110,Ohio,83,Kentucky,7,Indiana,4,0
CITY UNIVERSITY OF NEW YORK,73,2,2,11,88,3,0,1,12,16,2,1,0,3,6,0,0,0,2,2,0,0,0,1,1,1,9,1,21,5,150,1,0,0,2,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,9,10,1,0,1,1,3,4,0,0,5,9,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2,5,1,2,2,10,15,17,0,0,1,18,40,0,0,7,47,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,78,3,3,29,113,New York,94,New Jersey,8,California,2,0
CLEVELAND STATE UNIVERSITY,74,0,9,1,84,29,1,7,0,37,1,0,3,0,4,2,0,0,0,2,0,0,0,0,0,2,1,2,18,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,25,0,7,0,32,10,0,0,0,10,3,0,0,0,3,2,0,0,0,2,9,0,0,0,9,2,0,0,0,2,2,0,0,0,2,4,0,2,0,6,28,1,4,1,34,12,0,3,0,15,2,0,1,0,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,1,19,1,128,Ohio,104,New York,6,Colorado,2,0
"COLORADO, UNIVERSITY OF",115,10,2,4,131,15,1,1,4,21,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,6,2,165,5,8,0,3,16,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,8,0,4,18,0,0,0,0,0,17,0,2,1,20,8,0,0,0,8,8,0,0,0,8,2,1,0,0,3,2,0,0,0,2,10,0,0,0,10,10,0,0,0,10,0,0,0,1,1,15,1,0,2,18,19,5,1,3,28,15,2,0,0,17,2,0,0,0,2,17,3,0,2,22,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,130,12,3,9,154,Colorado,126,New York,6,District Of Columbia,5,0
COLUMBIA UNIVERSITY,439,1,1,0,441,9,0,0,0,9,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,1,0,9,2,468,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,5,0,0,0,5,3,0,0,0,3,16,0,0,0,16,40,0,0,0,40,291,0,0,0,291,0,0,0,0,0,16,0,0,0,16,25,0,0,0,25,29,1,0,0,30,22,0,0,0,22,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,453,1,1,0,455,New York,304,District of Columbia,40,California,36,19
"CONNECTICUT, UNIVERSITY OF",99,5,4,1,109,30,1,1,2,34,8,0,2,1,11,1,0,4,1,6,0,0,0,0,0,1,6,3,8,9,187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,4,16,1,1,1,19,8,0,0,0,8,8,0,0,0,8,5,0,0,0,5,9,0,0,0,9,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,30,3,6,2,41,18,2,0,1,21,5,0,1,0,6,5,0,0,0,5,20,0,0,0,20,0,0,0,0,0,3,0,1,1,5,0,0,0,0,0,138,6,11,5,160,Connecticut,113,Massachusetts,15,New York,8,0
CORNELL UNIVERSITY,183,0,1,0,184,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,191,11,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,12,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,7,0,0,0,7,17,0,0,0,17,99,0,0,0,99,0,0,0,0,0,6,0,0,0,6,11,0,0,0,11,9,0,1,0,10,19,0,0,0,19,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,1,0,185,New York,108,California,13,District Of Columbia,11,4
CREIGHTON UNIVERSITY,85,0,2,1,88,17,2,1,0,20,5,0,2,0,7,0,0,4,1,5,0,0,0,0,0,0,2,1,9,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,27,0,1,0,28,7,0,0,0,7,2,0,0,0,2,5,0,0,1,6,0,0,0,0,0,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,23,2,6,1,32,18,0,0,0,18,3,0,2,0,5,4,0,0,0,4,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,107,2,9,2,120,Nebraska,62,Iowa,10,Colorado,9,3
"DAYTON, UNIVERSITY OF",74,1,0,2,77,28,2,2,0,32,2,0,1,0,3,2,0,0,1,3,0,0,0,0,0,2,1,0,15,7,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,39,0,1,1,41,8,0,0,0,8,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,19,2,0,2,23,12,1,0,0,13,5,0,1,0,6,1,0,0,0,1,6,0,0,0,6,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,106,3,3,3,115,Ohio,59,Illinois,7,Kentucky,7,1
"DENVER, UNIVERSITY OF",155,5,19,0,179,26,8,9,15,58,6,0,1,0,7,0,1,1,1,3,0,0,0,0,0,1,0,4,19,6,277,2,1,13,0,16,0,1,1,14,16,0,0,0,0,0,0,0,0,0,0,2,2,14,14,32,2,0,1,0,3,37,1,8,1,47,10,0,1,0,11,5,4,0,0,9,3,0,0,0,3,5,0,0,0,5,5,0,0,0,5,8,0,0,0,8,2,0,0,0,2,33,4,4,1,42,49,2,1,0,52,6,2,0,0,8,1,0,0,0,1,20,0,13,0,33,0,0,0,0,0,0,1,2,14,17,1,0,0,0,1,187,14,30,16,247,Colorado,226,California,4,New York,2,0
DEPAUL UNIVERSITY,158,4,4,0,166,40,1,4,2,47,7,1,4,0,12,0,0,4,0,4,0,0,0,0,0,3,3,5,46,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,64,0,5,0,69,27,0,0,0,27,9,0,0,0,9,3,0,0,0,3,7,0,0,0,7,3,0,0,0,3,11,0,0,0,11,0,0,0,0,0,42,5,10,2,59,20,1,0,0,21,9,0,1,0,10,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,205,6,16,2,229,Illinois,203,California,4,Ohio,3,0
"DETROIT MERCY, UNIVERSITY OF",68,37,2,2,109,17,2,0,0,19,14,1,0,0,15,2,0,0,0,2,0,0,0,0,0,2,0,4,27,5,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,33,7,1,0,41,7,2,0,0,9,2,3,0,0,5,4,0,0,0,4,3,1,0,0,4,3,4,0,0,7,1,6,0,0,7,0,0,0,0,0,29,7,0,2,38,5,8,1,0,14,1,2,0,0,3,1,0,0,0,1,4,0,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,101,40,2,2,145,Michigan,87,Colorado,3,Pennsylvania,2,44
DISTRICT OF COLUMBIA,29,0,4,0,33,18,3,1,2,24,7,1,2,1,11,0,2,1,0,3,0,0,0,0,0,3,3,2,21,3,103,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,10,1,4,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,20,12,0,0,0,12,4,0,1,3,8,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,5,1,0,0,0,1,54,6,8,3,71,District Of Columbia,36,Maryland,14,Virginia,7,0
DRAKE UNIVERSITY,84,1,3,0,88,17,1,4,1,23,0,0,0,0,0,2,0,1,0,3,1,0,0,0,1,2,2,1,9,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,41,0,2,1,44,7,1,0,0,8,3,1,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,25,12,0,0,0,12,6,0,0,0,6,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,104,2,8,1,115,Iowa,89,Illinois,7,Texas,3,1
DREXEL UNIVERSITY,89,4,2,6,101,10,1,1,1,13,3,0,0,1,4,1,0,1,0,2,0,0,0,0,0,3,0,2,14,2,141,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,4,16,1,2,1,20,9,0,1,0,10,5,0,0,0,5,3,0,0,0,3,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,15,2,1,1,19,21,1,0,0,22,2,0,0,5,7,2,0,0,0,2,13,1,0,0,14,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,103,5,4,8,120,Pennsylvania,82,New Jersey,17,New York,6,1
DUKE UNIVERSITY,194,6,0,0,200,6,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,215,5,4,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,4,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,1,0,0,3,5,0,0,0,5,11,0,0,0,11,18,0,0,0,18,93,1,0,0,94,0,0,0,0,0,11,0,0,0,11,16,0,0,0,16,4,3,0,0,7,29,1,0,0,30,5,0,0,0,5,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,201,6,0,0,207,New York,56,District of Columbia,25,California,23,7
DUQUESNE UNIVERSITY,97,1,2,0,100,28,0,4,1,33,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,1,2,20,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,26,0,4,0,30,12,0,0,0,12,3,0,1,0,4,4,0,0,0,4,8,0,0,0,8,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,42,1,0,1,44,12,0,0,0,12,2,0,0,0,2,1,0,0,0,1,12,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,136,1,6,1,144,Pennsylvania,129,Florida,4,West Virginia,4,1
ELON UNIVERSITY,41,2,0,1,44,14,2,1,1,18,4,1,0,2,7,0,0,0,1,1,0,0,0,0,0,4,0,4,25,1,104,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,28,3,1,1,33,4,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,2,17,6,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,59,5,1,5,70,North Carolina,49,Virginia,8,District Of Columbia,3,0
EMORY UNIVERSITY,224,0,8,0,232,17,0,1,0,18,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,268,52,0,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,5,0,57,3,0,0,0,3,47,0,4,0,51,9,0,0,0,9,8,0,1,0,9,5,0,0,0,5,17,0,0,0,17,10,0,0,0,10,43,0,0,0,43,0,0,0,0,0,22,0,2,0,24,42,0,1,0,43,15,0,2,0,17,8,0,0,0,8,2,0,0,0,2,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,244,0,10,0,254,Georgia,139,New York,32,Florida,14,0
FAULKNER UNIVERSITY,38,1,0,0,39,19,1,1,2,23,3,0,0,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,14,2,83,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,7,27,1,0,0,28,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,9,9,1,0,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,2,61,2,2,2,67,Alabama,47,Georgia,5,Tennessee,4,0
FLORIDA A&M UNIVERSITY,59,2,5,3,69,16,1,2,0,19,29,0,3,1,33,0,1,2,0,3,0,0,0,0,0,7,5,3,31,4,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,7,21,1,2,1,25,8,0,1,0,9,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,1,6,0,36,28,1,0,0,29,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,10,0,0,0,0,0,104,4,12,4,124,Florida,113,District Of Columbia,2,Colorado,1,1
FLORIDA COASTAL SCHOOL OF LAW,168,21,1,1,191,51,30,3,7,91,29,9,5,7,50,2,0,2,5,9,0,0,0,0,0,13,0,35,95,0,484,1,13,0,0,14,1,16,0,0,17,0,1,0,0,1,0,0,0,0,0,2,30,0,0,32,6,0,0,0,6,97,27,2,7,133,20,0,0,1,21,10,1,0,0,11,0,3,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,51,14,5,9,79,38,4,2,1,45,11,5,1,1,18,0,0,0,0,0,8,0,0,1,9,0,0,0,0,0,4,5,1,0,10,0,0,0,0,0,250,60,11,20,341,Florida,216,Georgia,26,New York,16,0
FLORIDA INTERNATIONAL UNIVERSITY,101,4,3,0,108,20,0,6,1,27,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,12,44,0,4,1,49,13,0,0,0,13,2,0,0,0,2,2,0,1,0,3,3,0,0,0,3,0,1,0,0,1,2,0,0,0,2,1,0,0,0,1,20,2,5,0,27,23,0,1,0,24,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,127,4,11,1,143,Florida,130,District of Columbia,3,New York,2,0
FLORIDA STATE UNIVERSITY,180,1,2,2,185,27,5,7,2,41,5,0,2,0,7,1,0,2,1,4,0,0,0,0,0,7,1,9,6,8,268,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,4,45,0,1,1,47,18,0,0,0,18,12,0,0,0,12,4,0,0,0,4,7,0,0,0,7,5,0,0,0,5,3,0,0,0,3,2,0,2,1,5,27,2,4,2,35,69,3,4,1,77,5,1,1,0,7,4,0,0,0,4,7,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,213,6,13,5,237,Florida,192,District of Columbia,12,Georgia,4,1
"FLORIDA, UNIVERSITY OF",214,4,1,1,220,21,2,1,11,35,6,0,2,1,9,2,0,0,0,2,0,0,0,0,0,12,2,1,26,2,309,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,3,56,1,2,2,61,25,0,0,0,25,8,0,0,0,8,11,0,0,0,11,17,0,0,0,17,16,0,0,0,16,14,1,0,0,15,2,0,0,1,3,27,2,2,1,32,45,1,0,3,49,4,0,0,1,5,5,1,0,0,6,7,0,0,0,7,0,0,0,0,0,1,0,0,2,3,2,0,0,3,5,243,6,4,13,266,Florida,196,Georgia,5,District of Columbia,3,0
FORDHAM UNIVERSITY,311,16,4,12,343,30,13,2,6,51,11,1,0,0,12,0,0,0,0,0,0,0,0,0,0,6,7,6,32,2,459,0,9,0,10,19,0,10,0,4,14,0,0,0,0,0,0,0,0,0,0,0,19,0,14,33,0,0,0,0,0,32,0,3,3,38,22,1,0,0,23,8,0,1,0,9,14,0,0,0,14,14,0,0,0,14,41,0,0,0,41,107,0,0,0,107,0,0,0,0,0,47,6,2,1,56,41,3,0,5,49,11,5,0,4,20,8,6,0,0,14,7,0,0,5,12,0,0,0,0,1,0,9,0,0,9,0,0,0,0,0,352,30,6,18,406,New York,338,New Jersey,25,California,8,8
GEORGE MASON UNIVERSITY,103,2,1,1,107,44,2,9,9,64,1,0,2,0,3,1,0,0,0,1,0,0,0,0,0,2,1,2,2,2,184,7,1,0,0,8,0,0,2,8,10,0,0,0,0,0,0,0,0,0,0,7,1,2,8,18,0,0,0,0,0,24,1,7,1,33,11,0,1,0,12,1,0,0,0,1,4,0,0,0,4,2,0,0,0,2,4,0,0,0,4,10,0,0,0,10,0,0,0,0,0,33,1,2,1,37,31,2,0,1,34,10,0,0,0,10,5,0,0,0,5,14,0,0,0,14,0,0,0,0,0,0,0,2,7,9,0,0,0,0,0,149,4,12,10,175,Virginia,85,District Of Columbia,46,Maryland,10,1
GEORGE WASHINGTON UNIVERSITY,461,5,6,0,472,60,0,3,0,63,7,1,1,0,9,1,0,0,0,1,0,0,0,0,0,7,0,4,27,1,584,78,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,78,1,0,0,0,1,42,1,4,0,47,20,0,0,0,20,14,0,1,0,15,12,0,0,0,12,16,0,0,0,16,41,0,0,0,41,110,1,1,0,112,0,0,0,0,0,64,2,1,0,67,116,0,1,0,117,44,1,1,0,46,22,0,0,0,22,23,1,0,0,24,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,529,6,10,0,545,District Of Columbia,259,New York,73,Virginia,52,6
GEORGETOWN UNIVERSITY,500,6,9,1,516,46,3,13,1,63,7,0,1,0,8,1,0,1,0,2,0,0,0,0,0,5,5,8,18,1,626,64,0,6,0,70,8,0,7,1,16,3,0,0,0,3,0,0,0,0,0,75,0,13,1,89,1,0,0,1,2,9,0,2,0,11,10,0,0,0,10,4,0,0,0,4,11,0,0,0,11,20,0,0,0,20,51,0,0,0,51,210,1,0,0,211,2,0,1,0,3,22,3,5,0,30,87,2,3,0,92,64,1,9,0,74,22,1,0,0,23,29,1,0,0,30,0,0,0,0,0,12,0,4,1,17,0,0,0,0,0,554,9,24,2,589,District of Columbia,248,New York,125,California,47,14
GEORGIA STATE UNIVERSITY,141,4,5,2,152,16,0,1,0,17,8,0,2,1,11,0,0,0,0,0,0,0,0,0,0,5,0,3,8,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,39,0,3,1,43,13,0,0,1,14,5,0,0,0,5,8,0,0,0,8,8,2,0,0,10,8,0,0,0,8,7,0,0,0,7,0,0,0,0,0,32,1,3,1,37,18,0,1,0,19,5,1,1,0,7,8,0,0,0,8,7,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,165,4,8,3,180,Georgia,163,District of Columbia,1,Florida,1,0
"GEORGIA, UNIVERSITY OF",166,3,4,1,174,17,2,0,0,19,5,0,0,0,5,0,0,1,0,1,0,0,0,0,0,3,4,2,26,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,1,45,11,0,0,0,11,4,0,0,0,4,2,0,0,0,2,7,1,0,0,8,7,0,0,0,7,20,1,0,0,21,0,0,0,0,0,25,1,1,0,27,28,0,0,0,28,14,2,0,0,16,12,0,0,0,12,14,0,0,0,14,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,188,5,5,1,199,Georgia,137,District of Columbia,11,Florida,6,1
GOLDEN GATE UNIVERSITY,47,10,7,12,76,11,4,0,7,22,10,3,5,0,18,0,0,2,0,2,0,0,0,0,0,2,3,2,56,2,183,2,6,0,7,15,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,6,0,11,19,1,0,1,0,2,23,3,6,4,36,6,0,0,0,6,2,0,0,0,2,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,5,4,2,22,9,4,1,3,17,5,3,1,6,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,4,9,0,0,0,0,0,68,17,14,19,118,California,113,Mississippi,1,Nevada,1,1
GONZAGA UNIVERSITY,92,3,4,0,99,17,1,3,1,22,5,0,1,1,7,0,0,2,0,2,0,0,0,0,0,4,1,5,20,2,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,43,0,5,0,48,9,0,0,0,9,1,0,0,0,1,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,18,1,4,0,23,16,1,1,0,18,6,0,0,0,6,1,0,0,0,1,5,2,0,0,7,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,114,4,10,2,130,Washington,81,Idaho,10,Utah,9,0
HAMLINE UNIVERSITY,95,5,3,1,104,50,5,2,0,57,7,0,0,1,8,0,0,1,0,1,0,0,0,0,0,2,0,8,9,6,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,41,0,1,0,42,7,0,1,0,8,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46,7,2,1,56,22,2,1,0,25,6,1,0,0,7,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,152,10,6,2,170,Minnesota,118,Wisconsin,14,California,2,0
HARVARD UNIVERSITY,527,1,0,0,528,26,3,0,0,29,6,2,0,2,10,0,0,0,1,1,0,0,0,0,0,4,0,2,12,0,586,24,1,0,0,25,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,26,2,0,0,28,0,0,0,0,0,4,0,0,0,4,6,0,0,0,6,2,0,0,0,2,2,0,0,0,2,22,0,0,0,22,43,0,0,0,43,267,0,0,0,267,0,0,0,0,0,25,0,0,2,27,23,0,0,0,23,56,4,0,0,60,85,0,0,0,85,19,0,0,0,19,3,1,0,0,4,2,1,0,1,4,0,0,0,0,0,559,6,0,3,568,New York,204,California,73,District of Columbia,71,22
"HAWAII, UNIVERSITY OF",56,1,1,0,58,18,6,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,15,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,10,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,44,4,0,1,49,4,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,1,74,7,1,2,84,Hawaii,74,District of Columbia,2,California,2,1
